task_name,instance_num,job_name,task_type,status,start_time,end_time,plan_cpu,plan_mem
M1,3,job_60,type_10,Terminated,7536,7552,200,14.4
M1,5,job_61,type_9,Terminated,7618,7642,200,40.0
M1,8,job_62,type_5,Terminated,7713,7734,200,7.2
M1,1,job_63,type_10,Terminated,8221,8310,1000,30.3
M1,1,job_64,type_9,Terminated,8276,8287,50.0,28.1
M1,1,job_65,type_2,Terminated,8289,8299,50.0,23.3
M1,2,job_66,type_3,Terminated,8328,8339,100,13.9
M1,2,job_67,type_4,Terminated,8353,8374,300,2.4
M1,7,job_68,type_3,Terminated,8360,8385,200,7.7
M2,5,job_68,type_3,Terminated,8360,8396,100,2.1
M1,1,job_69,type_10,Terminated,8572,8591,100,4.2
M1,3,job_70,type_6,Terminated,8621,8633,450,28.6
M2_1,1,job_70,type_6,Terminated,8633,8644,50.0,16.9
M3_2,11,job_70,type_6,Terminated,8644,8680,50.0,22.0
M1,3,job_71,type_4,Terminated,8882,9267,350,19.2
M1,1,job_72,type_9,Terminated,9100,9132,100,7.8
M1,13,job_73,type_12,Terminated,9110,9125,100,19.2
M1,6,job_74,type_4,Terminated,9162,9176,50.0,2.6
M1,7,job_75,type_12,Terminated,9682,9692,850,17.9
M1,3,job_76,type_6,Terminated,9731,9797,100,17.0
M2,8,job_76,type_6,Terminated,9731,9751,500,2.9
M1,9,job_77,type_9,Terminated,9920,9933,100,30.5
M2,2,job_77,type_9,Terminated,9920,10035,50.0,27.9
M1,2,job_78,type_9,Terminated,9940,9958,350,22.9
M1,1,job_79,type_10,Terminated,9992,10003,50.0,16.5
M1,1,job_80,type_10,Terminated,10152,10173,250,14.7
M1,1,job_81,type_9,Terminated,11353,11363,50.0,21.7
M2_1,1,job_81,type_9,Terminated,11363,11414,50.0,3.8
M3_1,2,job_81,type_9,Terminated,11363,11374,50.0,20.4
M4_3,5,job_81,type_9,Terminated,11374,11501,200,38.0
M1,2,job_82,type_6,Terminated,11416,11431,50.0,39.6
M2_1,5,job_82,type_6,Terminated,11431,11448,150,8.4
M3_2_2,3,job_82,type_6,Terminated,11448,11458,150,15.2
M4_2,1,job_82,type_6,Terminated,11448,11460,50.0,2.8
M5_4,4,job_82,type_6,Terminated,11460,11478,1250,63.5
M6_2,1,job_82,type_6,Terminated,11448,11458,50.0,18.1
M7_3,2,job_82,type_6,Terminated,11458,11481,50.0,4.3
M8_1_1,1,job_82,type_6,Terminated,11431,11491,150,9.9
M1,2,job_83,type_6,Terminated,11465,11672,150,30.7
M1,8,job_84,type_11,Terminated,11598,11610,100,37.3
M1,1,job_85,type_5,Terminated,11992,12003,150,10.4
M1,1,job_86,type_4,Terminated,12493,12795,50.0,18.1
M2_1,1,job_86,type_4,Terminated,12795,12806,50.0,7.5
M3_1,1,job_86,type_4,Terminated,12795,12809,200,15.0
M4_3,1,job_86,type_4,Terminated,12809,12962,500,38.4
M1,1,job_87,type_1,Terminated,12605,12618,50.0,27.8
M1,1,job_88,type_4,Terminated,12816,12841,650,21.2
M2_1,1,job_88,type_4,Terminated,12841,12858,100,13.1
M3_1,2,job_88,type_4,Terminated,12841,12865,150,29.2
M4_2,7,job_88,type_4,Terminated,12858,12876,100,26.6
M5_3,1,job_88,type_4,Terminated,12865,13268,50.0,19.4
M1,6,job_89,type_9,Terminated,13072,13088,100,24.3
M1,4,job_90,type_3,Terminated,13178,13206,50.0,46.5
M1,5,job_91,type_3,Terminated,13222,13444,50.0,6.7
M1,1,job_92,type_11,Terminated,13846,13864,50.0,39.9
M2,2,job_92,type_11,Terminated,13846,13862,300,4.6
M1,5,job_93,type_2,Terminated,14122,14150,150,13.7
M1,1,job_94,type_2,Terminated,14485,14575,50.0,15.9
M1,2,job_95,type_11,Terminated,14647,14680,300,42.6
M1,1,job_96,type_9,Terminated,14764,14774,200,1.0
M2_1,5,job_96,type_9,Terminated,14774,14818,100,8.5
M1,1,job_97,type_6,Terminated,14926,15004,350,42.5
M1,3,job_98,type_5,Terminated,15022,15037,100,54.2
M2,5,job_98,type_5,Terminated,15022,15041,200,23.4
M3,1,job_98,type_5,Terminated,15022,15051,50.0,15.7
M4,2,job_98,type_5,Terminated,15022,15041,50.0,24.1
M5,6,job_98,type_5,Terminated,15022,15036,150,23.5
M1,1,job_99,type_6,Terminated,15264,15278,200,15.2
M2,5,job_99,type_6,Terminated,15264,15283,50.0,56.5
M3,1,job_99,type_6,Terminated,15264,15278,600,26.9
M4,1,job_99,type_6,Terminated,15264,15277,50.0,15.1
M1,2,job_100,type_10,Terminated,15316,15327,150,45.2
M1,1,job_101,type_10,Terminated,15413,15430,50.0,27.1
M2_1,1,job_101,type_10,Terminated,15430,15444,50.0,4.4
M3_2_2,1,job_101,type_10,Terminated,15444,15496,50.0,2.0
M4_3,14,job_101,type_10,Terminated,15496,15520,50.0,44.3
M5_3,7,job_101,type_10,Terminated,15496,15506,100,26.4
M6_1,15,job_101,type_10,Terminated,15430,15538,700,38.5
M7_3,3,job_101,type_10,Terminated,15496,15768,250,5.9
M1,1,job_102,type_11,Terminated,15596,15606,300,8.8
M1,3,job_103,type_2,Terminated,16013,16037,50.0,1.0
M2,6,job_103,type_2,Terminated,16013,16050,50.0,40.6
M3,2,job_103,type_2,Terminated,16013,16027,50.0,22.4
M4,2,job_103,type_2,Terminated,16013,16041,100,10.7
M1,1,job_104,type_3,Terminated,16418,16436,250,14.5
M2_1,6,job_104,type_3,Terminated,16436,16455,100,7.7
M3_1,1,job_104,type_3,Terminated,16436,17537,600,16.2
M4_3,6,job_104,type_3,Terminated,17537,17620,250,26.5
M5_1,4,job_104,type_3,Terminated,16436,16446,50.0,29.0
M6_1,1,job_104,type_3,Terminated,16436,16451,50.0,16.7
M7_5,1,job_104,type_3,Terminated,16446,16460,150,7.2
M8_4,4,job_104,type_3,Terminated,17620,17682,250,27.0
M1,1,job_105,type_2,Terminated,16446,16457,200,18.4
M2,4,job_105,type_2,Terminated,16446,16461,100,22.4
M3,2,job_105,type_2,Terminated,16446,16514,50.0,17.3
M4,1,job_105,type_2,Terminated,16446,16459,100,41.1
M5,1,job_105,type_2,Terminated,16446,16466,100,37.8
M6,1,job_105,type_2,Terminated,16446,16457,200,18.3
M7,2,job_105,type_2,Terminated,16446,16469,50.0,2.2
M1,1,job_106,type_4,Terminated,17359,17371,200,35.2
M2,6,job_106,type_4,Terminated,17359,17371,100,9.8
M1,4,job_107,type_1,Terminated,17507,17521,300,12.5
M1,1,job_108,type_10,Terminated,17786,17796,150,30.0
M2_1,1,job_108,type_10,Terminated,17796,17869,250,18.1
M1,3,job_109,type_9,Terminated,17937,17954,100,15.5
M1,3,job_110,type_5,Terminated,17939,17949,50.0,26.9
M2_1,2,job_110,type_5,Terminated,17949,17961,50.0,22.5
M1,2,job_111,type_11,Terminated,18302,18314,200,7.9
M1,8,job_112,type_10,Terminated,18400,18414,100,2.8
M1,2,job_113,type_1,Terminated,19046,19062,50.0,2.2
M2,4,job_113,type_1,Terminated,19046,19065,150,12.5
M1,1,job_114,type_6,Terminated,19381,19393,50.0,33.3
M2,3,job_114,type_6,Terminated,19381,19397,50.0,26.6
M3,1,job_114,type_6,Terminated,19381,19409,100,20.6
M4,2,job_114,type_6,Terminated,19381,19392,100,5.4
M1,1,job_115,type_6,Terminated,19694,19705,50.0,1.0
M2,1,job_115,type_6,Terminated,19694,19752,50.0,20.6
M3,2,job_115,type_6,Terminated,19694,19721,50.0,8.5
M4,4,job_115,type_6,Terminated,19694,19721,150,37.9
M5,5,job_115,type_6,Terminated,19694,19707,1000,35.4
M1,16,job_116,type_5,Terminated,19705,19716,300,6.6
M2,1,job_116,type_5,Terminated,19705,19715,100,72.4
M3,1,job_116,type_5,Terminated,19705,19791,150,9.5
M4,5,job_116,type_5,Terminated,19705,19735,100,19.4
M5,3,job_116,type_5,Terminated,19705,19754,50.0,4.6
M1,5,job_117,type_3,Terminated,19830,19841,350,22.4
M2,1,job_117,type_3,Terminated,19830,19855,350,17.6
M3,5,job_117,type_3,Terminated,19830,19899,50.0,10.1
M1,3,job_118,type_2,Terminated,20239,20279,400,43.9
M2_1,11,job_118,type_2,Terminated,20279,20301,200,9.8
M1,4,job_119,type_7,Terminated,20343,20357,150,8.8
M1,1,job_120,type_9,Terminated,20500,20520,250,3.0
M2,4,job_120,type_9,Terminated,20500,20535,100,13.2
M3,1,job_120,type_9,Terminated,20500,20528,950,19.0
M4,2,job_120,type_9,Terminated,20500,20511,150,12.2
M5,5,job_120,type_9,Terminated,20500,20605,50.0,23.1
M1,1,job_121,type_9,Terminated,20536,20557,200,16.1
M2_1,3,job_121,type_9,Terminated,20557,20585,300,12.5
M1,1,job_122,type_11,Terminated,20585,20751,200,11.8
M2,13,job_122,type_11,Terminated,20585,20597,1000,17.0
M1,1,job_123,type_5,Terminated,20598,20608,50.0,27.4
M2,11,job_123,type_5,Terminated,20598,20615,100,32.3
M3,4,job_123,type_5,Terminated,20598,20627,600,12.4
M4,8,job_123,type_5,Terminated,20598,21110,200,9.2
M5,1,job_123,type_5,Terminated,20598,20637,50.0,11.0
M6,1,job_123,type_5,Terminated,20598,20608,150,20.9
M7,1,job_123,type_5,Terminated,20598,20613,100,33.9
M1,2,job_124,type_3,Terminated,21123,21392,50.0,10.9
M1,2,job_125,type_3,Terminated,21333,21343,300,9.9
M1,2,job_126,type_11,Terminated,21546,21556,100,14.9
M2,2,job_126,type_11,Terminated,21546,21571,700,12.9
M3,1,job_126,type_11,Terminated,21546,21557,50.0,3.8
M4,1,job_126,type_11,Terminated,21546,21559,50.0,25.4
M5,1,job_126,type_11,Terminated,21546,21583,50.0,12.2
M6,1,job_126,type_11,Terminated,21546,21563,600,39.7
M7,3,job_126,type_11,Terminated,21546,21558,200,13.1
M1,1,job_127,type_8,Terminated,21650,21693,300,36.4
M1,5,job_128,type_11,Terminated,21919,21930,150,39.3
M2,1,job_128,type_11,Terminated,21919,21930,100,10.4
M3,1,job_128,type_11,Terminated,21919,21992,50.0,35.6
M1,1,job_129,type_4,Terminated,21940,21950,950,34.9
M1,5,job_130,type_11,Terminated,22148,22172,100,36.9
M1,5,job_131,type_4,Terminated,22285,22299,50.0,15.2
M2_1,1,job_131,type_4,Terminated,22299,22316,50.0,22.2
M3_2,9,job_131,type_4,Terminated,22316,22330,350,50.8
M4_3,5,job_131,type_4,Terminated,22330,22347,150,18.6
M5_2_2,4,job_131,type_4,Terminated,22316,22328,50.0,20.4
M6_4,1,job_131,type_4,Terminated,22347,22375,150,17.2
M1,1,job_132,type_1,Terminated,22386,22437,250,19.7
M2,1,job_132,type_1,Terminated,22386,22398,250,13.2
M1,5,job_133,type_11,Terminated,22618,22655,100,46.5
M1,1,job_134,type_5,Terminated,23675,23687,50.0,58.8
M1,2,job_135,type_7,Terminated,23934,23958,500,10.8
M1,4,job_136,type_7,Terminated,23942,23970,200,26.3
M1,3,job_137,type_2,Terminated,23972,23992,100,12.2
M1,1,job_138,type_7,Terminated,24046,24070,50.0,5.5
M2_1,1,job_138,type_7,Terminated,24070,24082,100,10.2
M1,8,job_139,type_4,Terminated,24188,24200,50.0,26.2
M2,1,job_139,type_4,Terminated,24188,24222,200,33.7
M3,1,job_139,type_4,Terminated,24188,24206,50.0,1.6
M1,1,job_140,type_8,Terminated,24289,24367,50.0,24.1
M2,3,job_140,type_8,Terminated,24289,24307,150,31.7
M1,1,job_141,type_12,Terminated,24656,25295,300,45.4
M2,2,job_141,type_12,Terminated,24656,24669,50.0,18.0
M3,3,job_141,type_12,Terminated,24656,24741,150,16.0
M1,6,job_142,type_2,Terminated,25031,25043,50.0,13.0
M1,2,job_143,type_10,Terminated,25085,25108,350,27.3
M2,3,job_143,type_10,Terminated,25085,25113,250,7.5
M3,1,job_143,type_10,Terminated,25085,25097,300,21.0
M1,1,job_144,type_5,Terminated,25174,25188,100,37.4
M1,1,job_145,type_5,Terminated,25234,25265,300,7.2
M1,4,job_146,type_5,Terminated,25327,25371,100,30.0
M2,8,job_146,type_5,Terminated,25327,25339,150,13.5
M3,1,job_146,type_5,Terminated,25327,25348,450,56.1
M1,1,job_147,type_9,Terminated,25396,25430,100,57.2
M1,1,job_148,type_9,Terminated,25419,25452,350,25.5
M2,1,job_148,type_9,Terminated,25419,25447,700,14.3
M1,2,job_149,type_7,Terminated,25555,25566,150,14.0
M1,1,job_150,type_10,Terminated,25716,25730,50.0,7.7
M1,2,job_151,type_7,Terminated,26604,26688,150,28.3
M2,2,job_151,type_7,Terminated,26604,26619,300,18.6
M3,1,job_151,type_7,Terminated,26604,26647,100,18.3
M4,1,job_151,type_7,Terminated,26604,26619,300,30.3
M1,3,job_152,type_11,Terminated,27089,27108,100,30.2
M1,13,job_153,type_1,Terminated,27091,27104,50.0,16.8
M1,5,job_154,type_10,Terminated,27183,27194,150,48.7
M2_1,4,job_154,type_10,Terminated,27194,27205,100,26.3
M3_2,15,job_154,type_10,Terminated,27205,27217,50.0,7.1
M4_2_2,6,job_154,type_10,Terminated,27205,27215,50.0,12.8
M5_2,3,job_154,type_10,Terminated,27205,27216,50.0,46.4
M6_3,1,job_154,type_10,Terminated,27217,27227,50.0,30.2
M7_3_1,1,job_154,type_10,Terminated,27217,27228,100,6.9
M8_5,1,job_154,type_10,Terminated,27216,27330,100,10.6
M1,7,job_155,type_10,Terminated,27447,27505,250,4.9
M2,1,job_155,type_10,Terminated,27447,27481,100,27.9
M3,1,job_155,type_10,Terminated,27447,27483,300,37.7
M4,2,job_155,type_10,Terminated,27447,27466,50.0,69.0
M1,4,job_156,type_9,Terminated,27621,27631,50.0,28.6
M2,9,job_156,type_9,Terminated,27621,27650,100,12.3
M3,1,job_156,type_9,Terminated,27621,27631,100,3.7
M4,1,job_156,type_9,Terminated,27621,27647,200,24.0
M5,1,job_156,type_9,Terminated,27621,27634,300,50.1
M1,2,job_157,type_1,Terminated,28079,28093,50.0,12.3
M2,2,job_157,type_1,Terminated,28079,28090,100,10.4
M3,1,job_157,type_1,Terminated,28079,28091,50.0,4.4
M1,7,job_158,type_11,Terminated,28540,28550,100,23.1
M1,2,job_159,type_9,Terminated,28593,28619,100,15.2
M2,1,job_159,type_9,Terminated,28593,28604,100,46.5
M3,1,job_159,type_9,Terminated,28593,28608,50.0,18.0
M4,1,job_159,type_9,Terminated,28593,28603,50.0,6.7
M1,1,job_160,type_2,Terminated,28660,28673,150,5.6
M2_1,4,job_160,type_2,Terminated,28673,28688,100,13.5
M3_1,5,job_160,type_2,Terminated,28673,28685,50.0,36.4
M4_1_1,2,job_160,type_2,Terminated,28673,28705,50.0,8.9
M5_2,1,job_160,type_2,Terminated,28688,28699,50.0,6.9
M1,1,job_161,type_11,Terminated,29548,29576,200,12.3
M1,1,job_162,type_9,Terminated,29752,29764,50.0,18.4
M1,1,job_163,type_9,Terminated,29857,29935,300,1.0
M1,1,job_164,type_8,Terminated,30038,30053,350,9.5
M1,1,job_165,type_7,Terminated,30216,30232,50.0,10.6
M2,1,job_165,type_7,Terminated,30216,30229,100,5.1
M3,2,job_165,type_7,Terminated,30216,30236,50.0,2.5
M1,2,job_166,type_12,Terminated,30475,30485,50.0,37.2
M2_1,1,job_166,type_12,Terminated,30485,30499,50.0,28.5
M3_1,1,job_166,type_12,Terminated,30485,30495,150,6.9
M4_2,1,job_166,type_12,Terminated,30499,30509,500,6.0
M5_3,1,job_166,type_12,Terminated,30495,30519,150,20.9
M1,1,job_167,type_10,Terminated,30587,30604,200,4.3
M2_1,6,job_167,type_10,Terminated,30604,30619,50.0,38.6
M3_2,4,job_167,type_10,Terminated,30619,30652,50.0,34.0
M1,1,job_168,type_3,Terminated,30873,30884,100,18.9
M1,1,job_169,type_4,Terminated,30988,31015,50.0,10.7
M2_1,1,job_169,type_4,Terminated,31015,31033,50.0,32.0
M3_2,5,job_169,type_4,Terminated,31033,31059,150,38.5
M1,5,job_170,type_6,Terminated,31016,31027,50.0,32.9
M2,3,job_170,type_6,Terminated,31016,31031,550,8.0
M3,1,job_170,type_6,Terminated,31016,31029,100,7.0
M4,1,job_170,type_6,Terminated,31016,31026,50.0,10.8
M5,1,job_170,type_6,Terminated,31016,31049,50.0,15.6
M6,1,job_170,type_6,Terminated,31016,31035,50.0,3.1
M7,2,job_170,type_6,Terminated,31016,31030,50.0,20.7
M8,2,job_170,type_6,Terminated,31016,31063,50.0,2.7
M1,5,job_171,type_2,Terminated,31036,31054,50.0,28.4
M1,4,job_172,type_9,Terminated,31129,31168,50.0,19.0
M1,5,job_173,type_1,Terminated,31582,31603,100,7.3
M1,1,job_174,type_1,Terminated,31603,31622,150,4.9
M1,5,job_175,type_11,Terminated,31621,31767,50.0,18.6
M2_1,4,job_175,type_11,Terminated,31767,31782,150,6.9
M3_1,2,job_175,type_11,Terminated,31767,31783,100,8.6
M4_3,2,job_175,type_11,Terminated,31783,31811,450,17.0
M1,1,job_176,type_1,Terminated,31694,31706,50.0,74.0
M2,1,job_176,type_1,Terminated,31694,31709,100,9.9
M1,2,job_177,type_5,Terminated,32157,32231,100,10.6
M2,2,job_177,type_5,Terminated,32157,32168,50.0,18.6
M1,8,job_178,type_10,Terminated,32627,32640,150,20.4
M1,4,job_179,type_7,Terminated,33074,33092,50.0,11.1
M1,10,job_180,type_6,Terminated,33153,33196,150,16.2
M1,1,job_181,type_10,Terminated,33639,33662,50.0,18.6
M1,1,job_182,type_8,Terminated,33926,33954,50.0,24.7
M1,1,job_183,type_6,Terminated,34492,34508,150,5.7
M2_1,1,job_183,type_6,Terminated,34508,34524,50.0,24.8
M1,3,job_184,type_5,Terminated,34735,34746,50.0,13.2
M1,3,job_185,type_8,Terminated,34838,34850,150,9.5
M1,1,job_186,type_9,Terminated,34856,34936,100,47.2
M1,1,job_187,type_3,Terminated,34943,34960,150,15.5
M1,1,job_188,type_1,Terminated,35765,35777,50.0,6.5
M1,4,job_189,type_6,Terminated,35782,35797,50.0,19.3
M2,1,job_189,type_6,Terminated,35782,35793,50.0,21.0
M3,4,job_189,type_6,Terminated,35782,35797,600,29.1
M1,2,job_190,type_10,Terminated,35946,35972,50.0,12.5
M2_1,1,job_190,type_10,Terminated,35972,35990,300,21.9
M1,1,job_191,type_4,Terminated,36395,36419,150,30.0
M2,1,job_191,type_4,Terminated,36395,36498,100,33.6
M3,5,job_191,type_4,Terminated,36395,36418,50.0,10.6
M4,2,job_191,type_4,Terminated,36395,36405,50.0,19.0
M1,2,job_192,type_12,Terminated,36436,36459,400,50.9
M2,7,job_192,type_12,Terminated,36436,36601,50.0,16.5
